iata;tz
DSM;America/Chicago
DSN;Asia/Shanghai
DSS;\N
DTB;Asia/Jakarta
DTW;America/New_York
DUB;Europe/Dublin
DUS;Europe/Berlin
DWD;\N
DXB;Asia/Dubai
DYG;Asia/Shanghai
DZA;Indian/Mayotte
EBB;Africa/Kampala
EBL;Asia/Baghdad
ECP;America/Chicago
EDI;Europe/London
EDL;Africa/Nairobi
EGC;Europe/Paris
EGO;Europe/Moscow
EKO;America/Los_Angeles
ELM;America/New_York
ELP;America/Denver
ELQ;Asia/Riyadh
ENE;Asia/Makassar
ENH;Asia/Shanghai
ENY;Asia/Shanghai
ERI;America/New_York
ESB;Europe/Istanbul
ESC;America/New_York
ETZ;Europe/Paris
EUG;America/Los_Angeles
EVN;Asia/Yerevan
EVV;America/Chicago
EWN;America/New_York
EWR;America/New_York
EXT;Europe/London
EYW;America/New_York
EZE;America/Buenos_Aires
FAI;America/Anchorage
FAR;America/Chicago
FAY;America/New_York
FCA;America/Denver
FCO;Europe/Rome
FDF;America/Martinique
FLL;America/New_York
FLN;America/Sao_Paulo
FLR;Europe/Rome
FLZ;Asia/Jakarta
FNA;Africa/Freetown
FNT;America/New_York
FOC;Asia/Shanghai
FOR;America/Fortaleza
FRA;Europe/Berlin
FRU;Asia/Bishkek
FSC;Europe/Paris
FSD;America/Chicago
FSM;America/Chicago
FTE;America/Argentina/Rio_Gallegos
FUE;Atlantic/Canary
FUK;Asia/Tokyo
FWA;America/New_York
FYN;\N
GCM;America/Cayman
GDL;America/Mexico_City
GDN;Europe/Warsaw
GDX;Asia/Srednekolymsk
GEG;America/Los_Angeles
GFK;America/Chicago
GGT;America/Nassau
GIG;America/Sao_Paulo
GIZ;Asia/Riyadh
GJT;America/Denver
GLA;Europe/London
GMQ;\N
GNV;America/New_York
GOA;Europe/Rome
GOJ;Europe/Moscow
GOT;Europe/Stockholm
GPT;America/Chicago
GRB;America/Chicago
GRR;America/New_York
GRU;America/Sao_Paulo
GRX;Europe/Madrid
GRZ;Europe/Vienna
GSO;America/New_York
GSP;America/New_York
GTF;America/Denver
GTO;Asia/Makassar
GTR;America/Chicago
GUA;America/Guatemala
GUM;Pacific/Guam
GUW;Asia/Oral
GVA;Europe/Paris
GYD;Asia/Baku
GYE;America/Guayaquil
GYS;Asia/Shanghai
GYU;Asia/Shanghai
HAH;Indian/Comoro
HAJ;Europe/Berlin
HAK;Asia/Shanghai
HAM;Europe/Berlin
HAN;Asia/Saigon
HAS;Asia/Riyadh
HAV;America/Havana
HBE;Africa/Cairo
HDG;Asia/Shanghai
HEK;Asia/Shanghai
HEL;Europe/Helsinki
HET;Asia/Shanghai
HFE;Asia/Shanghai
HGH;Asia/Shanghai
HIA;Asia/Shanghai
HIJ;Asia/Tokyo
HKT;Asia/Bangkok
HLD;Asia/Shanghai
HLN;America/Denver
HMA;Asia/Yekaterinburg
HMI;Asia/Shanghai
HMO;America/Hermosillo
HND;Asia/Tokyo
HNL;Pacific/Honolulu
HNY;\N
HOU;America/Chicago
HPG;\N
HPH;Asia/Saigon
HPN;America/New_York
HRB;Asia/Shanghai
HRG;Africa/Cairo
HSN;Asia/Shanghai
HSV;America/Chicago
HTN;Asia/Shanghai
HTT;\N
HUI;Asia/Saigon
HUX;America/Mexico_City
HUY;Europe/London
HXD;\N
HYD;\N
HYN;Asia/Shanghai
IAD;America/New_York
IAH;America/Chicago
IAS;Europe/Bucharest
IBZ;Europe/Madrid
ICT;America/Chicago
IEV;Europe/Kiev
IGR;America/Cordoba
IKA;Asia/Tehran
IKT;Asia/Irkutsk
ILM;America/New_York
IMT;America/Chicago
IND;America/New_York
INV;Europe/London
IQM;Asia/Shanghai
IRJ;America/Argentina/La_Rioja
ISB;\N
ISN;America/Chicago
IST;\N
ITH;America/New_York
ITM;Asia/Tokyo
JAC;America/Denver
JAN;America/Chicago
JAX;America/New_York
JED;Asia/Riyadh
JFK;America/New_York
JGD;Asia/Shanghai
JGN;Asia/Shanghai
JGS;Asia/Shanghai
JHB;Asia/Kuala_Lumpur
JHG;Asia/Shanghai
JIB;Africa/Djibouti
JIC;\N
JIQ;Asia/Shanghai
JJN;Asia/Shanghai
JMJ;\N
JMU;Asia/Shanghai
JNB;Africa/Johannesburg
JNG;Asia/Shanghai
JNZ;Asia/Shanghai
JOG;Asia/Jakarta
JUB;Africa/Juba
JXA;Asia/Shanghai
KBP;Europe/Kiev
KBV;Asia/Bangkok
KDI;Asia/Makassar
KEF;Atlantic/Reykjavik
KEJ;Asia/Krasnoyarsk
KGD;Europe/Kaliningrad
KGF;Asia/Qyzylorda
KGL;Africa/Kigali
KHG;Asia/Shanghai
KHH;Asia/Taipei
KHI;Asia/Karachi
KHN;Asia/Shanghai
KHV;Asia/Vladivostok
KIJ;Asia/Tokyo
KIN;America/Jamaica
KIS;Africa/Nairobi
KIX;Asia/Tokyo
KJA;Asia/Krasnoyarsk
KKJ;Asia/Tokyo
KLO;Asia/Manila
KLV;Europe/Prague
KMG;Asia/Shanghai
KMI;Asia/Tokyo
KMQ;Asia/Tokyo
KNO;Asia/Jakarta
KOA;Pacific/Honolulu
KOE;Asia/Makassar
KOJ;Asia/Tokyo
KOW;Asia/Shanghai
KRK;Europe/Warsaw
KRL;Asia/Shanghai
KRR;Europe/Moscow
KRS;Europe/Oslo
KRT;Africa/Khartoum
KRY;Asia/Shanghai
KSC;Europe/Bratislava
KSN;Asia/Qyzylorda
KTG;Asia/Jakarta
KTM;Asia/Katmandu
KUF;Europe/Samara
KUL;Asia/Kuala_Lumpur
KWE;Asia/Shanghai
KWI;Asia/Kuwait
KWL;Asia/Shanghai
KXK;Asia/Vladivostok
KZN;Europe/Moscow
KZO;Asia/Qyzylorda
LAD;Africa/Luanda
LAN;America/New_York
LAP;America/Mazatlan
LAS;America/Los_Angeles
LAX;America/Los_Angeles
LBA;Europe/London
LBD;Asia/Dushanbe
LBJ;Asia/Makassar
LBV;Africa/Libreville
LCA;Asia/Nicosia
LCG;Europe/Madrid
LCY;Europe/London
